INFO  - 2016-10-29 20:32:53.110; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2016-10-29 20:32:53.111; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2016-10-29 20:32:53.112; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2016-10-29 20:32:53.113; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2016-10-29 20:32:53.114; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2016-10-29 20:32:53.114; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2016-10-29 20:32:53.115; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2016-10-29 20:32:53.116; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2016-10-29 20:32:53.117; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2016-10-29 20:32:53.117; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2016-10-29 20:32:53.118; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2016-10-29 20:32:53.119; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2016-10-29 20:32:53.120; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2016-10-29 20:32:53.120; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2016-10-29 20:32:53.124; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2016-10-29 20:32:53.125; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
